Periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2017;2017;Almirante Brown;Total de víctimas de violaciones;38;;;;;;;;;
1/1/2018;2018;Almirante Brown;Total de víctimas de homicidios dolosos;45;;;;;;;;;
1/1/2018;2018;Almirante Brown;Total de víctimas de lesiones dolosas;877;;;;;;;;;
1/1/2018;2018;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;43;;;;;;;;;
1/1/2018;2018;Almirante Brown;Total de víctimas de violaciones;43;;;;;;;;;
1/1/2019;2019;Almirante Brown;Total de víctimas de homicidios dolosos;38;;;;;;;;;
1/1/2019;2019;Almirante Brown;Total de víctimas de lesiones dolosas;1049;;;;;;;;;
1/1/2019;2019;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;33;;;;;;;;;
1/1/2019;2019;Almirante Brown;Total de víctimas de violaciones;23;;;;;;;;;
1/1/2020;2020;Almirante Brown;Total de víctimas de homicidios dolosos;36;;;;;;;;;
1/1/2020;2020;Almirante Brown;Total de víctimas de lesiones dolosas;1241;;;;;;;;;
1/1/2020;2020;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;354;;;;;;;;;
1/1/2020;2020;Almirante Brown;Total de víctimas de violaciones;56;;;;;;;;;
1/1/2021;2021;Almirante Brown;Total de víctimas de homicidios dolosos;34;;;;;;;;;
1/1/2021;2021;Almirante Brown;Total de víctimas de lesiones dolosas;1900;;;;;;;;;
1/1/2021;2021;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;629;;;;;;;;;
1/1/2021;2021;Almirante Brown;Total de víctimas de violaciones;105;;;;;;;;;
1/1/2014;2014;Arrecifes;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2014;2014;Arrecifes;Total de víctimas de lesiones dolosas;270;;;;;;;;;
1/1/2014;2014;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;3;;;;;;;;;
1/1/2014;2014;Arrecifes;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2015;2015;Arrecifes;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2015;2015;Arrecifes;Total de víctimas de lesiones dolosas;224;;;;;;;;;
1/1/2015;2015;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;9;;;;;;;;;
1/1/2015;2015;Arrecifes;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2016;2016;Arrecifes;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2016;2016;Arrecifes;Total de víctimas de lesiones dolosas;121;;;;;;;;;
1/1/2016;2016;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2016;2016;Arrecifes;Total de víctimas de violaciones;7;;;;;;;;;
1/1/2017;2017;Arrecifes;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2017;2017;Arrecifes;Total de víctimas de lesiones dolosas;134;;;;;;;;;
1/1/2017;2017;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;4;;;;;;;;;
1/1/2017;2017;Arrecifes;Total de víctimas de violaciones;7;;;;;;;;;
1/1/2018;2018;Arrecifes;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2018;2018;Arrecifes;Total de víctimas de lesiones dolosas;95;;;;;;;;;
1/1/2018;2018;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2018;2018;Arrecifes;Total de víctimas de violaciones;6;;;;;;;;;
1/1/2019;2019;Arrecifes;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2019;2019;Arrecifes;Total de víctimas de lesiones dolosas;125;;;;;;;;;
1/1/2019;2019;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2019;2019;Arrecifes;Total de víctimas de violaciones;6;;;;;;;;;
1/1/2020;2020;Arrecifes;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2020;2020;Arrecifes;Total de víctimas de lesiones dolosas;154;;;;;;;;;
1/1/2020;2020;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;18;;;;;;;;;
1/1/2020;2020;Arrecifes;Total de víctimas de violaciones;5;;;;;;;;;
1/1/2021;2021;Arrecifes;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2021;2021;Arrecifes;Total de víctimas de lesiones dolosas;209;;;;;;;;;
1/1/2021;2021;Arrecifes;Total de víctimas de otros delitos contra la integridad sexual;44;;;;;;;;;
1/1/2021;2021;Arrecifes;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2014;2014;Avellaneda;Total de víctimas de homicidios dolosos;53;;;;;;;;;
1/1/2014;2014;Avellaneda;Total de víctimas de lesiones dolosas;1472;;;;;;;;;
1/1/2014;2014;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;55;;;;;;;;;
1/1/2014;2014;Avellaneda;Total de víctimas de violaciones;22;;;;;;;;;
1/1/2015;2015;Avellaneda;Total de víctimas de homicidios dolosos;30;;;;;;;;;
1/1/2015;2015;Avellaneda;Total de víctimas de lesiones dolosas;1530;;;;;;;;;
1/1/2015;2015;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;65;;;;;;;;;
1/1/2015;2015;Avellaneda;Total de víctimas de violaciones;17;;;;;;;;;
1/1/2016;2016;Avellaneda;Total de víctimas de homicidios dolosos;23;;;;;;;;;
1/1/2016;2016;Avellaneda;Total de víctimas de lesiones dolosas;668;;;;;;;;;
1/1/2016;2016;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;47;;;;;;;;;
1/1/2016;2016;Avellaneda;Total de víctimas de violaciones;24;;;;;;;;;
1/1/2017;2017;Avellaneda;Total de víctimas de homicidios dolosos;30;;;;;;;;;
1/1/2017;2017;Avellaneda;Total de víctimas de lesiones dolosas;672;;;;;;;;;
1/1/2017;2017;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;47;;;;;;;;;
1/1/2017;2017;Avellaneda;Total de víctimas de violaciones;30;;;;;;;;;
1/1/2018;2018;Avellaneda;Total de víctimas de homicidios dolosos;24;;;;;;;;;
1/1/2018;2018;Avellaneda;Total de víctimas de lesiones dolosas;700;;;;;;;;;
1/1/2018;2018;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;57;;;;;;;;;
1/1/2018;2018;Avellaneda;Total de víctimas de violaciones;27;;;;;;;;;
1/1/2019;2019;Avellaneda;Total de víctimas de homicidios dolosos;28;;;;;;;;;
1/1/2019;2019;Avellaneda;Total de víctimas de lesiones dolosas;561;;;;;;;;;
1/1/2019;2019;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;52;;;;;;;;;
1/1/2019;2019;Avellaneda;Total de víctimas de violaciones;33;;;;;;;;;
1/1/2020;2020;Avellaneda;Total de víctimas de homicidios dolosos;19;;;;;;;;;
1/1/2020;2020;Avellaneda;Total de víctimas de lesiones dolosas;1009;;;;;;;;;
1/1/2020;2020;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;202;;;;;;;;;
1/1/2020;2020;Avellaneda;Total de víctimas de violaciones;38;;;;;;;;;
1/1/2021;2021;Avellaneda;Total de víctimas de homicidios dolosos;29;;;;;;;;;
1/1/2021;2021;Avellaneda;Total de víctimas de lesiones dolosas;1125;;;;;;;;;
1/1/2021;2021;Avellaneda;Total de víctimas de otros delitos contra la integridad sexual;279;;;;;;;;;
1/1/2021;2021;Avellaneda;Total de víctimas de violaciones;56;;;;;;;;;
1/1/2014;2014;Ayacucho;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2014;2014;Ayacucho;Total de víctimas de lesiones dolosas;37;;;;;;;;;
1/1/2014;2014;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;24;;;;;;;;;
1/1/2014;2014;Ayacucho;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2015;2015;Ayacucho;Total de víctimas de homicidios dolosos;3;;;;;;;;;
1/1/2015;2015;Ayacucho;Total de víctimas de lesiones dolosas;8;;;;;;;;;
1/1/2015;2015;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;5;;;;;;;;;
1/1/2015;2015;Ayacucho;Total de víctimas de violaciones;1;;;;;;;;;
