barrio,ingresos_totales,anio
SAN TELMO,2500,2019
CONSTITUCION,30000,2019
MONSERRAT,30000,2019
PUERTO MADERO,30000,2019
RETIRO,30000,2019
SAN NICOLAS,30000,2019
SAN TELMO,30000,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
CONSTITUCION,17000,2019
MONSERRAT,17000,2019
PUERTO MADERO,17000,2019
RETIRO,17000,2019
SAN NICOLAS,17000,2019
SAN TELMO,17000,2019
CONSTITUCION,25000,2019
MONSERRAT,25000,2019
PUERTO MADERO,25000,2019
RETIRO,25000,2019
SAN NICOLAS,25000,2019
SAN TELMO,25000,2019
FLORESTA,13200,2019
MONTE CASTRO,13200,2019
VELEZ SARSFIELD,13200,2019
VERSALLES,13200,2019
VILLA LURO,13200,2019
VILLA REAL,13200,2019
FLORESTA,13400,2019
MONTE CASTRO,13400,2019
VELEZ SARSFIELD,13400,2019
VERSALLES,13400,2019
VILLA LURO,13400,2019
VILLA REAL,13400,2019
BALVANERA,12000,2019
SAN CRISTOBAL,12000,2019
BALVANERA,25000,2019
SAN CRISTOBAL,25000,2019
BALVANERA,35300,2019
SAN CRISTOBAL,35300,2019
RECOLETA,20000,2019
RECOLETA,21000,2019
RECOLETA,16000,2019
RECOLETA,16000,2019
RECOLETA,0,2019
RECOLETA,50000,2019
RECOLETA,18000,2019
LINIERS,24000,2019
MATADEROS,24000,2019
PARQUE AVELLANEDA,24000,2019
RECOLETA,15300,2019
RECOLETA,15000,2019
COGHLAN,8000,2019
SAAVEDRA,8000,2019
VILLA PUEYRREDON,8000,2019
VILLA URQUIZA,8000,2019
COGHLAN,18000,2019
SAAVEDRA,18000,2019
VILLA PUEYRREDON,18000,2019
VILLA URQUIZA,18000,2019
COGHLAN,5200,2019
SAAVEDRA,5200,2019
VILLA PUEYRREDON,5200,2019
VILLA URQUIZA,5200,2019
BALVANERA,28000,2019
SAN CRISTOBAL,28000,2019
BALVANERA,22000,2019
SAN CRISTOBAL,22000,2019
BALVANERA,22000,2019
SAN CRISTOBAL,22000,2019
BALVANERA,25000,2019
SAN CRISTOBAL,25000,2019
COGHLAN,50000,2019
SAAVEDRA,50000,2019
VILLA PUEYRREDON,50000,2019
VILLA URQUIZA,50000,2019
BELGRANO,16500,2019
COLEGIALES,16500,2019
NUÑEZ,16500,2019
RECOLETA,5000,2019
RECOLETA,28000,2019
BALVANERA,12000,2019
SAN CRISTOBAL,12000,2019
CABALLITO,6000,2019
CABALLITO,26000,2019
COGHLAN,60000,2019
SAAVEDRA,60000,2019
VILLA PUEYRREDON,60000,2019
VILLA URQUIZA,60000,2019
COGHLAN,35000,2019
SAAVEDRA,35000,2019
VILLA PUEYRREDON,35000,2019
VILLA URQUIZA,35000,2019
COGHLAN,25000,2019
SAAVEDRA,25000,2019
VILLA PUEYRREDON,25000,2019
VILLA URQUIZA,25000,2019
RECOLETA,30000,2019
CONSTITUCION,9000,2019
MONSERRAT,9000,2019
PUERTO MADERO,9000,2019
RETIRO,9000,2019
SAN NICOLAS,9000,2019
SAN TELMO,9000,2019
RECOLETA,1700,2019
RECOLETA,70000,2019
RECOLETA,10000,2019
CONSTITUCION,28000,2019
MONSERRAT,28000,2019
PUERTO MADERO,28000,2019
RETIRO,28000,2019
SAN NICOLAS,28000,2019
SAN TELMO,28000,2019
AGRONOMIA,15500,2019
CHACARITA,15500,2019
PARQUE CHAS,15500,2019
PATERNAL,15500,2019
VILLA CRESPO,15500,2019
VILLA ORTUZAR,15500,2019
AGRONOMIA,0,2019
CHACARITA,0,2019
PARQUE CHAS,0,2019
PATERNAL,0,2019
VILLA CRESPO,0,2019
VILLA ORTUZAR,0,2019
AGRONOMIA,0,2019
CHACARITA,0,2019
PARQUE CHAS,0,2019
PATERNAL,0,2019
VILLA CRESPO,0,2019
VILLA ORTUZAR,0,2019
BELGRANO,18000,2019
COLEGIALES,18000,2019
NUÑEZ,18000,2019
CONSTITUCION,8000,2019
MONSERRAT,8000,2019
PUERTO MADERO,8000,2019
RETIRO,8000,2019
SAN NICOLAS,8000,2019
SAN TELMO,8000,2019
CONSTITUCION,30000,2019
MONSERRAT,30000,2019
PUERTO MADERO,30000,2019
RETIRO,30000,2019
SAN NICOLAS,30000,2019
SAN TELMO,30000,2019
RECOLETA,20000,2019
RECOLETA,20000,2019
CONSTITUCION,27000,2019
MONSERRAT,27000,2019
PUERTO MADERO,27000,2019
RETIRO,27000,2019
SAN NICOLAS,27000,2019
SAN TELMO,27000,2019
BARRACAS,4000,2019
BOCA,4000,2019
NUEVA POMPEYA,4000,2019
PARQUE PATRICIOS,4000,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
BARRACAS,7000,2019
BOCA,7000,2019
NUEVA POMPEYA,7000,2019
PARQUE PATRICIOS,7000,2019
BARRACAS,3000,2019
BOCA,3000,2019
NUEVA POMPEYA,3000,2019
PARQUE PATRICIOS,3000,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
CONSTITUCION,3600,2019
MONSERRAT,3600,2019
PUERTO MADERO,3600,2019
RETIRO,3600,2019
SAN NICOLAS,3600,2019
SAN TELMO,3600,2019
CONSTITUCION,7600,2019
MONSERRAT,7600,2019
PUERTO MADERO,7600,2019
RETIRO,7600,2019
SAN NICOLAS,7600,2019
SAN TELMO,7600,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
LINIERS,14000,2019
MATADEROS,14000,2019
PARQUE AVELLANEDA,14000,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
AGRONOMIA,17000,2019
CHACARITA,17000,2019
PARQUE CHAS,17000,2019
PATERNAL,17000,2019
VILLA CRESPO,17000,2019
VILLA ORTUZAR,17000,2019
AGRONOMIA,0,2019
CHACARITA,0,2019
PARQUE CHAS,0,2019
PATERNAL,0,2019
VILLA CRESPO,0,2019
VILLA ORTUZAR,0,2019
AGRONOMIA,0,2019
CHACARITA,0,2019
PARQUE CHAS,0,2019
PATERNAL,0,2019
VILLA CRESPO,0,2019
VILLA ORTUZAR,0,2019
BARRACAS,13500,2019
BOCA,13500,2019
NUEVA POMPEYA,13500,2019
PARQUE PATRICIOS,13500,2019
BARRACAS,12000,2019
BOCA,12000,2019
NUEVA POMPEYA,12000,2019
PARQUE PATRICIOS,12000,2019
BARRACAS,1000,2019
BOCA,1000,2019
NUEVA POMPEYA,1000,2019
PARQUE PATRICIOS,1000,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
FLORESTA,20000,2019
MONTE CASTRO,20000,2019
VELEZ SARSFIELD,20000,2019
VERSALLES,20000,2019
VILLA LURO,20000,2019
VILLA REAL,20000,2019
FLORESTA,3000,2019
MONTE CASTRO,3000,2019
VELEZ SARSFIELD,3000,2019
VERSALLES,3000,2019
VILLA LURO,3000,2019
VILLA REAL,3000,2019
FLORESTA,0,2019
MONTE CASTRO,0,2019
VELEZ SARSFIELD,0,2019
VERSALLES,0,2019
VILLA LURO,0,2019
VILLA REAL,0,2019
FLORESTA,0,2019
MONTE CASTRO,0,2019
VELEZ SARSFIELD,0,2019
VERSALLES,0,2019
VILLA LURO,0,2019
VILLA REAL,0,2019
CONSTITUCION,16100,2019
MONSERRAT,16100,2019
PUERTO MADERO,16100,2019
RETIRO,16100,2019
SAN NICOLAS,16100,2019
SAN TELMO,16100,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
BARRACAS,26000,2019
BOCA,26000,2019
NUEVA POMPEYA,26000,2019
PARQUE PATRICIOS,26000,2019
LINIERS,22000,2019
MATADEROS,22000,2019
PARQUE AVELLANEDA,22000,2019
LINIERS,2500,2019
MATADEROS,2500,2019
PARQUE AVELLANEDA,2500,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
AGRONOMIA,18000,2019
CHACARITA,18000,2019
PARQUE CHAS,18000,2019
PATERNAL,18000,2019
VILLA CRESPO,18000,2019
VILLA ORTUZAR,18000,2019
AGRONOMIA,10000,2019
CHACARITA,10000,2019
PARQUE CHAS,10000,2019
PATERNAL,10000,2019
VILLA CRESPO,10000,2019
VILLA ORTUZAR,10000,2019
ALMAGRO,17000,2019
BOEDO,17000,2019
ALMAGRO,21000,2019
BOEDO,21000,2019
CABALLITO,17500,2019
CABALLITO,30000,2019
CABALLITO,18000,2019
BARRACAS,28000,2019
BOCA,28000,2019
NUEVA POMPEYA,28000,2019
PARQUE PATRICIOS,28000,2019
BARRACAS,30000,2019
BOCA,30000,2019
NUEVA POMPEYA,30000,2019
PARQUE PATRICIOS,30000,2019
PALERMO,14000,2019
PALERMO,18000,2019
PALERMO,29000,2019
CONSTITUCION,21000,2019
MONSERRAT,21000,2019
PUERTO MADERO,21000,2019
RETIRO,21000,2019
SAN NICOLAS,21000,2019
SAN TELMO,21000,2019
CONSTITUCION,40000,2019
MONSERRAT,40000,2019
PUERTO MADERO,40000,2019
RETIRO,40000,2019
SAN NICOLAS,40000,2019
SAN TELMO,40000,2019
CONSTITUCION,20000,2019
MONSERRAT,20000,2019
PUERTO MADERO,20000,2019
RETIRO,20000,2019
SAN NICOLAS,20000,2019
SAN TELMO,20000,2019
CONSTITUCION,12000,2019
MONSERRAT,12000,2019
PUERTO MADERO,12000,2019
RETIRO,12000,2019
SAN NICOLAS,12000,2019
