subtipo,barrio,mes,anio,count
Hurto total,PALERMO,JULIO,2018,310
Robo total,RECOLETA,OCTUBRE,2018,308
Hurto total,BALVANERA,AGOSTO,2016,308
Hurto total,BALVANERA,JUNIO,2023,307
Robo total,RECOLETA,ENERO,2018,307
Hurto total,SAN NICOLAS,OCTUBRE,2018,307
Robo total,FLORES,MARZO,2023,307
Hurto total,BALVANERA,ENERO,2020,306
Hurto total,PALERMO,MAYO,2016,306
Hurto total,PALERMO,MARZO,2018,305
Hurto total,PALERMO,SEPTIEMBRE,2018,305
Robo total,CABALLITO,MAYO,2016,305
Robo total,CABALLITO,ENERO,2016,305
Hurto total,SAN NICOLAS,AGOSTO,2016,304
Hurto total,BALVANERA,FEBRERO,2020,304
Hurto total,PALERMO,ABRIL,2016,304
Hurto total,SAN NICOLAS,OCTUBRE,2016,304
Robo total,BALVANERA,DICIEMBRE,2021,304
Robo total,PALERMO,JUNIO,2022,303
Hurto total,RECOLETA,JULIO,2023,303
Robo total,FLORES,DICIEMBRE,2018,303
Hurto total,PALERMO,OCTUBRE,2017,303
Hurto total,PALERMO,FEBRERO,2019,302
Robo total,RECOLETA,ENERO,2019,301
Robo total,CABALLITO,JULIO,2018,301
Robo total,PALERMO,ENERO,2021,301
Robo total,BALVANERA,NOVIEMBRE,2021,300
Hurto total,SAN NICOLAS,NOVIEMBRE,2017,300
Hurto total,PALERMO,MARZO,2016,300
Robo total,RECOLETA,MAYO,2016,300
Hurto total,BALVANERA,DICIEMBRE,2021,300
Robo total,PALERMO,MARZO,2021,300
Robo total,PALERMO,FEBRERO,2021,300
Robo total,RECOLETA,DICIEMBRE,2018,299
Robo total,RECOLETA,FEBRERO,2019,299
Robo total,CABALLITO,MARZO,2018,299
Hurto total,BALVANERA,OCTUBRE,2016,298
Hurto total,PALERMO,AGOSTO,2017,298
Robo total,FLORES,JULIO,2023,298
Hurto total,BALVANERA,JUNIO,2022,298
Robo total,CABALLITO,ABRIL,2016,298
Robo total,RECOLETA,MARZO,2017,298
Robo total,FLORES,MARZO,2022,298
Robo total,ALMAGRO,AGOSTO,2016,297
Hurto total,PALERMO,MAYO,2017,297
Hurto total,PALERMO,SEPTIEMBRE,2017,297
Hurto total,FLORES,DICIEMBRE,2023,297
Robo total,CABALLITO,MARZO,2017,296
Hurto total,RECOLETA,AGOSTO,2023,296
Robo total,FLORES,OCTUBRE,2017,296
Robo total,FLORES,ABRIL,2018,296
Robo total,ALMAGRO,JULIO,2018,296
Hurto total,RECOLETA,SEPTIEMBRE,2023,296
Robo total,BALVANERA,DICIEMBRE,2017,296
Hurto total,PALERMO,ENERO,2017,295
Hurto total,PALERMO,OCTUBRE,2018,295
Robo total,RECOLETA,DICIEMBRE,2016,294
Robo total,RECOLETA,MAYO,2023,293
Robo total,RECOLETA,NOVIEMBRE,2016,291
Robo total,FLORES,JUNIO,2023,291
Robo total,FLORES,DICIEMBRE,2016,291
Hurto total,BALVANERA,ABRIL,2023,291
Hurto total,PALERMO,MARZO,2021,291
Robo total,FLORES,MARZO,2019,291
Hurto total,SAN NICOLAS,JULIO,2016,290
Robo total,ALMAGRO,JULIO,2023,290
Robo total,ALMAGRO,SEPTIEMBRE,2018,290
Robo total,FLORES,SEPTIEMBRE,2018,289
Robo total,BALVANERA,FEBRERO,2022,289
Hurto total,SAN NICOLAS,JUNIO,2023,288
Hurto total,SAN NICOLAS,AGOSTO,2023,288
Robo total,BALVANERA,MAYO,2022,287
Robo total,ALMAGRO,FEBRERO,2019,287
Robo total,CABALLITO,MAYO,2018,287
Hurto total,PALERMO,JULIO,2021,287
Robo total,CABALLITO,JUNIO,2017,286
Robo total,BALVANERA,ENERO,2017,286
Hurto total,SAN NICOLAS,DICIEMBRE,2019,286
Hurto total,SAN NICOLAS,SEPTIEMBRE,2016,286
Hurto total,PALERMO,SEPTIEMBRE,2021,285
Robo total,FLORES,OCTUBRE,2022,285
Robo total,BALVANERA,AGOSTO,2017,284
Hurto total,PALERMO,ABRIL,2018,284
Robo total,CABALLITO,SEPTIEMBRE,2018,284
Hurto total,SAN NICOLAS,NOVIEMBRE,2018,284
Hurto total,SAN NICOLAS,JULIO,2017,284
Robo total,FLORES,DICIEMBRE,2022,284
Robo total,ALMAGRO,AGOSTO,2018,284
Robo total,CABALLITO,AGOSTO,2017,284
Robo total,RECOLETA,NOVIEMBRE,2023,284
Robo total,CABALLITO,DICIEMBRE,2018,283
Hurto total,BALVANERA,SEPTIEMBRE,2023,282
Robo total,RECOLETA,MAYO,2018,282
Hurto total,BALVANERA,NOVIEMBRE,2018,282
Robo total,RECOLETA,AGOSTO,2018,281
Hurto total,SAN NICOLAS,MAYO,2023,281
Robo total,FLORES,DICIEMBRE,2017,281
Hurto total,PALERMO,SEPTIEMBRE,2016,281
Hurto total,FLORES,JULIO,2023,280
Robo total,CABALLITO,OCTUBRE,2017,280
Robo total,BALVANERA,ABRIL,2022,280
Hurto total,PALERMO,JUNIO,2016,280
Hurto total,PALERMO,AGOSTO,2021,280
Hurto total,BALVANERA,NOVIEMBRE,2023,280
Hurto total,BALVANERA,FEBRERO,2019,280
Robo total,FLORES,JULIO,2018,279
Robo total,FLORES,JUNIO,2017,279
Robo total,CABALLITO,JULIO,2017,279
Hurto total,BALVANERA,NOVIEMBRE,2021,279
Hurto total,BALVANERA,ENERO,2016,279
Robo total,ALMAGRO,OCTUBRE,2016,279
Robo total,RECOLETA,DICIEMBRE,2023,278
Robo total,BALVANERA,MARZO,2021,278
Hurto total,SAN NICOLAS,JUNIO,2019,278
Robo total,BALVANERA,FEBRERO,2021,278
Hurto total,SAN NICOLAS,MARZO,2019,277
Robo total,CABALLITO,DICIEMBRE,2016,277
Robo total,FLORES,ENERO,2020,277
