subtipo,barrio,mes,anio,count
Hurto automotor,PARQUE AVELLANEDA,ENERO,2020,3
Lesiones por siniestros viales,VILLA LURO,ENERO,2016,3
Robo automotor,PARQUE PATRICIOS,NOVIEMBRE,2023,3
Muertes por siniestros viales,NUEVA POMPEYA,JUNIO,2021,3
Hurto automotor,PARQUE CHACABUCO,SEPTIEMBRE,2018,3
Amenazas,COGHLAN,AGOSTO,2017,3
Robo automotor,PATERNAL,NOVIEMBRE,2017,3
Hurto automotor,PARQUE CHAS,JULIO,2018,3
Hurto automotor,PARQUE CHAS,JULIO,2017,3
Robo automotor,PATERNAL,MAYO,2017,3
Hurto automotor,PARQUE CHAS,ENERO,2022,3
Hurto automotor,PARQUE CHAS,ENERO,2021,3
Amenazas,COGHLAN,ENERO,2023,3
Robo automotor,PATERNAL,JUNIO,2018,3
Hurto automotor,PARQUE CHAS,ENERO,2017,3
Amenazas,COGHLAN,DICIEMBRE,2021,3
Robo automotor,PATERNAL,FEBRERO,2016,3
Hurto automotor,PARQUE CHAS,DICIEMBRE,2016,3
Robo automotor,PATERNAL,ENERO,2018,3
Amenazas,COGHLAN,DICIEMBRE,2018,3
Homicidios dolosos,BARRACAS,OCTUBRE,2022,3
Homicidios dolosos,BARRACAS,OCTUBRE,2021,3
Hurto automotor,PARQUE CHAS,AGOSTO,2021,3
Robo automotor,PATERNAL,DICIEMBRE,2017,3
Hurto automotor,PARQUE CHAS,AGOSTO,2020,3
Robo automotor,PATERNAL,AGOSTO,2019,3
Amenazas,COGHLAN,AGOSTO,2021,3
Homicidios dolosos,BARRACAS,NOVIEMBRE,2017,3
Robo automotor,PARQUE PATRICIOS,SEPTIEMBRE,2017,3
Lesiones por siniestros viales,VILLA LURO,DICIEMBRE,2021,3
Robo automotor,PARQUE PATRICIOS,ENERO,2016,3
Robo automotor,PARQUE PATRICIOS,DICIEMBRE,2021,3
Lesiones por siniestros viales,VILLA GRAL. MITRE,MARZO,2016,3
Hurto automotor,CONSTITUCION,NOVIEMBRE,2019,3
Hurto automotor,NUNEZ,SEPTIEMBRE,2023,3
Amenazas,AGRONOMIA,SEPTIEMBRE,2018,3
Lesiones por siniestros viales,SAN TELMO,ABRIL,2016,3
Amenazas,AGRONOMIA,OCTUBRE,2023,3
Hurto automotor,NUEVA POMPEYA,SEPTIEMBRE,2020,3
Lesiones por siniestros viales,VILLA GRAL. MITRE,AGOSTO,2021,3
Robo automotor,NUEVA POMPEYA,OCTUBRE,2020,3
Hurto automotor,NUEVA POMPEYA,OCTUBRE,2020,3
Hurto automotor,NUEVA POMPEYA,MAYO,2020,3
Lesiones por siniestros viales,VILLA DEVOTO,ABRIL,2020,3
Robo automotor,PARQUE CHACABUCO,MARZO,2022,3
Hurto automotor,NUEVA POMPEYA,DICIEMBRE,2018,3
Lesiones por siniestros viales,SAN TELMO,ENERO,2022,3
Robo automotor,NUEVA POMPEYA,SEPTIEMBRE,2018,3
Lesiones por siniestros viales,VILLA DEL PARQUE,OCTUBRE,2017,3
Lesiones por siniestros viales,SAN TELMO,JULIO,2020,3
Hurto automotor,MONTE CASTRO,OCTUBRE,2023,3
Lesiones por siniestros viales,SAN TELMO,MARZO,2020,3
Muertes por siniestros viales,MATADEROS,AGOSTO,2016,3
Amenazas,AGRONOMIA,NOVIEMBRE,2022,3
Lesiones por siniestros viales,SAN TELMO,NOVIEMBRE,2019,3
Robo automotor,NUNEZ,MARZO,2023,3
Lesiones por siniestros viales,VILLA GRAL. MITRE,JUNIO,2021,3
Lesiones por siniestros viales,VILLA GRAL. MITRE,MARZO,2017,3
Lesiones por siniestros viales,RETIRO,JULIO,2020,3
Hurto automotor,NUÑEZ,ABRIL,2021,3
Robo automotor,PARQUE PATRICIOS,DICIEMBRE,2019,3
Hurto automotor,CONSTITUCION,MAYO,2019,3
Amenazas,BOEDO,MAYO,2020,3
Amenazas,BOEDO,MARZO,2017,3
Robo automotor,NUEVA POMPEYA,JUNIO,2021,3
Robo automotor,PARQUE PATRICIOS,AGOSTO,2019,3
Homicidios dolosos,BARRACAS,FEBRERO,2021,3
Homicidios dolosos,BARRACAS,FEBRERO,2020,3
Lesiones por siniestros viales,SAAVEDRA,JULIO,2018,3
Hurto automotor,NUÑEZ,OCTUBRE,2020,3
Hurto automotor,NUÑEZ,NOVIEMBRE,2021,3
Hurto automotor,NUÑEZ,NOVIEMBRE,2020,3
Robo automotor,PARQUE CHAS,OCTUBRE,2016,3
Hurto automotor,NUÑEZ,MARZO,2021,3
Amenazas,BELGRANO,ENERO,2017,3
Amenazas,BELGRANO,ABRIL,2017,3
Robo automotor,PARQUE CHAS,MARZO,2018,3
Hurto automotor,NUÑEZ,JULIO,2020,3
Hurto automotor,NUÑEZ,ENERO,2020,3
Robo automotor,NUEVA POMPEYA,MARZO,2023,3
Amenazas,AGRONOMIA,SEPTIEMBRE,2023,3
Hurto automotor,NUÑEZ,DICIEMBRE,2018,3
Robo automotor,PARQUE CHACABUCO,SEPTIEMBRE,2020,3
Robo automotor,VERSALLES,JULIO,2019,3
Lesiones Dolosas,COLEGIALES,DICIEMBRE,2020,3
Hurto automotor,SAN TELMO,OCTUBRE,2021,3
Robo automotor,VILLA DEL PARQUE,FEBRERO,2018,3
Lesiones por siniestros viales,VILLA ORTUZAR,JUNIO,2020,3
Robo automotor,VILLA DEL PARQUE,JULIO,2017,3
Hurto automotor,SAN TELMO,ABRIL,2018,3
Hurto automotor,VERSALLES,FEBRERO,2018,3
Hurto automotor,SAN TELMO,ABRIL,2016,3
Hurto automotor,SAN NICOLAS,SEPTIEMBRE,2023,3
Hurto automotor,SAN NICOLAS,SEPTIEMBRE,2020,3
Robo automotor,MONSERRAT,AGOSTO,2021,3
Lesiones por siniestros viales,PATERNAL,JUNIO,2019,3
Hurto automotor,COGHLAN,FEBRERO,2018,3
Lesiones por siniestros viales,PATERNAL,JUNIO,2020,3
Hurto automotor,VERSALLES,JULIO,2021,3
Lesiones por siniestros viales,PARQUE CHAS,MARZO,2019,3
Hurto automotor,SAN NICOLAS,OCTUBRE,2021,3
Hurto automotor,SAN TELMO,ABRIL,2019,3
Lesiones por siniestros viales,PARQUE CHAS,MAYO,2023,3
Hurto automotor,SAN TELMO,AGOSTO,2017,3
Lesiones por siniestros viales,PATERNAL,JULIO,2021,3
Hurto automotor,SAN TELMO,AGOSTO,2018,3
Robo automotor,VILLA DEL PARQUE,MARZO,2019,3
Hurto automotor,SAN TELMO,DICIEMBRE,2017,3
Lesiones por siniestros viales,PARQUE CHAS,NOVIEMBRE,2016,3
Lesiones por siniestros viales,PATERNAL,FEBRERO,2021,3
Hurto automotor,VERSALLES,FEBRERO,2017,3
Lesiones por siniestros viales,PATERNAL,ENERO,2023,3
Robo automotor,VILLA LUGANO,AGOSTO,2021,3
Robo automotor,VILLA LUGANO,AGOSTO,2020,3
Hurto automotor,SAN TELMO,ENERO,2017,3
Hurto automotor,SAN TELMO,ENERO,2018,3
Lesiones por siniestros viales,PARQUE CHAS,NOVIEMBRE,2018,3
Hurto automotor,COGHLAN,FEBRERO,2019,3
Robo automotor,VILLA DEL PARQUE,DICIEMBRE,2019,3
Hurto automotor,VERSALLES,JULIO,2022,3
Amenazas,PARQUE CHACABUCO,JUNIO,2018,3
Hurto automotor,COGHLAN,NOVIEMBRE,2021,3
Hurto automotor,COGHLAN,ENERO,2018,3
Hurto automotor,VERSALLES,NOVIEMBRE,2019,3
Hurto automotor,VERSALLES,NOVIEMBRE,2020,3
Hurto automotor,SAN NICOLAS,MAYO,2017,3
Lesiones por siniestros viales,PATERNAL,MAYO,2018,3
Hurto automotor,SAN NICOLAS,MARZO,2022,3
Hurto automotor,SAN NICOLAS,MARZO,2020,3
Hurto automotor,VERSALLES,JUNIO,2016,3
Robo automotor,VILLA CRESPO,MARZO,2018,3
Lesiones por siniestros viales,PARQUE CHAS,DICIEMBRE,2023,3
Hurto automotor,SAN NICOLAS,MARZO,2019,3
Hurto automotor,SAN NICOLAS,MARZO,2017,3
Hurto automotor,SAN NICOLAS,MARZO,2016,3
Hurto automotor,SAN NICOLAS,JUNIO,2022,3
Robo automotor,VILLA LUGANO,JUNIO,2022,3
Hurto automotor,SAN NICOLAS,NOVIEMBRE,2017,3
Lesiones por siniestros viales,PARQUE CHAS,ENERO,2021,3
Hurto automotor,SAN NICOLAS,NOVIEMBRE,2018,3
Lesiones por siniestros viales,PARQUE CHAS,FEBRERO,2016,3
Hurto automotor,COGHLAN,ENERO,2020,3
Lesiones por siniestros viales,PARQUE CHAS,JULIO,2017,3
Lesiones por siniestros viales,PARQUE CHAS,JULIO,2018,3
Robo automotor,MONTE CASTRO,DICIEMBRE,2016,3
Hurto automotor,COGHLAN,ENERO,2022,3
Robo automotor,MONTE CASTRO,AGOSTO,2021,3
Hurto automotor,VERSALLES,MARZO,2023,3
Hurto automotor,VERSALLES,MARZO,2021,3
Amenazas,PARQUE CHAS,SEPTIEMBRE,2023,3
Hurto automotor,VERSALLES,JUNIO,2019,3
Robo automotor,VILLA DEL PARQUE,DICIEMBRE,2016,3
Robo automotor,VILLA LUGANO,ENERO,2022,3
Hurto automotor,SAN TELMO,FEBRERO,2016,3
Hurto automotor,VERSALLES,ENERO,2022,3
Robo automotor,MATADEROS,OCTUBRE,2020,3
Robo automotor,VILLA DEVOTO,MARZO,2023,3
Hurto automotor,SAN TELMO,OCTUBRE,2020,3
Amenazas,PARQUE CHAS,MARZO,2021,3
Hurto automotor,SAN TELMO,OCTUBRE,2019,3
Hurto automotor,VELEZ SARSFIELD,MAYO,2019,3
Homicidios dolosos,RETIRO,MARZO,2016,3
Lesiones por siniestros viales,PARQUE PATRICIOS,JULIO,2020,3
Hurto automotor,SAN TELMO,OCTUBRE,2016,3
Hurto automotor,SAN TELMO,NOVIEMBRE,2017,3
Amenazas,PARQUE CHAS,MAYO,2021,3
Homicidios dolosos,RETIRO,MAYO,2017,3
Amenazas,PARQUE CHAS,AGOSTO,2023,3
Amenazas,PARQUE CHAS,AGOSTO,2021,3
Robo automotor,VILLA GRAL. MITRE,JUNIO,2017,3
Robo automotor,MONSERRAT,JULIO,2017,3
Homicidios dolosos,RETIRO,AGOSTO,2019,3
Amenazas,PARQUE CHAS,MARZO,2020,3
Hurto automotor,SAN TELMO,OCTUBRE,2022,3
Hurto automotor,VELEZ SARSFIELD,JUNIO,2022,3
Amenazas,PARQUE CHAS,JUNIO,2023,3
Hurto automotor,VELEZ SARSFIELD,FEBRERO,2023,3
Amenazas,PARQUE CHAS,JUNIO,2022,3
Robo automotor,VILLA DEVOTO,NOVIEMBRE,2023,3
Robo automotor,MONSERRAT,MARZO,2018,3
Lesiones por siniestros viales,PARQUE PATRICIOS,ABRIL,2020,3
Robo automotor,VILLA GRAL. MITRE,DICIEMBRE,2017,3
Amenazas,PARQUE CHAS,JULIO,2019,3
Hurto automotor,SAN TELMO,SEPTIEMBRE,2022,3
Homicidios dolosos,RETIRO,ENERO,2018,3
Robo automotor,MONSERRAT,JUNIO,2019,3
Lesiones por siniestros viales,PARQUE CHAS,SEPTIEMBRE,2021,3
Amenazas,PARQUE CHAS,FEBRERO,2017,3
Robo automotor,VILLA GRAL. MITRE,MARZO,2016,3
Hurto automotor,VELEZ SARSFIELD,OCTUBRE,2022,3
Amenazas,PARQUE CHACABUCO,JUNIO,2021,3
Robo automotor,VILLA DEVOTO,AGOSTO,2019,3
Hurto automotor,SAN TELMO,JUNIO,2018,3
Robo automotor,MONSERRAT,FEBRERO,2016,3
Hurto automotor,SAN TELMO,JUNIO,2016,3
Homicidios dolosos,RETIRO,NOVIEMBRE,2022,3
Robo automotor,VILLA DEVOTO,DICIEMBRE,2017,3
Lesiones por siniestros viales,PARQUE CHAS,OCTUBRE,2020,3
Lesiones por siniestros viales,PATERNAL,DICIEMBRE,2022,3
Amenazas,PARQUE CHAS,NOVIEMBRE,2020,3
Lesiones por siniestros viales,PATERNAL,ENERO,2016,3
Lesiones por siniestros viales,PARQUE CHAS,OCTUBRE,2019,3
Robo automotor,VILLA DEVOTO,AGOSTO,2016,3
Robo automotor,VILLA LUGANO,ABRIL,2021,3
Lesiones por siniestros viales,PARQUE CHAS,NOVIEMBRE,2023,3
Robo automotor,VILLA DEVOTO,ABRIL,2019,3
Robo automotor,MONSERRAT,NOVIEMBRE,2017,3
Robo automotor,VILLA GRAL. MITRE,OCTUBRE,2017,3
Robo automotor,VILLA DEVOTO,FEBRERO,2016,3
Hurto automotor,SAN TELMO,MARZO,2018,3
Robo automotor,VILLA DEVOTO,FEBRERO,2020,3
Amenazas,PARQUE CHAS,ABRIL,2023,3
Hurto automotor,SAN TELMO,MARZO,2020,3
Hurto automotor,VERSALLES,ABRIL,2023,3
Hurto automotor,SAN TELMO,MARZO,2022,3
Hurto automotor,SAN TELMO,MAYO,2017,3
Hurto automotor,SAN TELMO,MAYO,2018,3
Hurto automotor,COGHLAN,JUNIO,2020,3
Homicidios dolosos,RETIRO,NOVIEMBRE,2016,3
Hurto automotor,VERSALLES,ABRIL,2016,3
Lesiones por siniestros viales,PATERNAL,ABRIL,2018,3
Hurto automotor,VELEZ SARSFIELD,SEPTIEMBRE,2023,3
Lesiones por siniestros viales,VILLA ORTUZAR,MARZO,2022,3
Amenazas,PATERNAL,AGOSTO,2019,3
Lesiones por siniestros viales,VILLA ORTUZAR,JUNIO,2019,3
Hurto automotor,VILLA CRESPO,FEBRERO,2021,3
Lesiones por siniestros viales,VILLA ORTUZAR,NOVIEMBRE,2021,3
Robo automotor,MATADEROS,MAYO,2021,3
Lesiones por siniestros viales,PARQUE AVELLANEDA,JUNIO,2020,3
Robo total,MONTE CASTRO,ABRIL,2020,3
Lesiones por siniestros viales,VILLA ORTUZAR,OCTUBRE,2020,3
Hurto automotor,VERSALLES,SEPTIEMBRE,2018,3
Hurto automotor,SAN NICOLAS,FEBRERO,2023,3
Hurto automotor,SAN NICOLAS,JUNIO,2018,3
Lesiones por siniestros viales,PARQUE CHAS,ABRIL,2021,3
Hurto automotor,COGHLAN,DICIEMBRE,2022,3
Hurto automotor,SAN NICOLAS,JULIO,2017,3
Robo automotor,VILLA CRESPO,JUNIO,2017,3
Amenazas,NUÑEZ,SEPTIEMBRE,2018,3
Lesiones por siniestros viales,PARQUE CHAS,ABRIL,2016,3
Robo automotor,VILLA CRESPO,FEBRERO,2017,3
Hurto automotor,COGHLAN,OCTUBRE,2017,3
Lesiones por siniestros viales,PARQUE CHAS,ABRIL,2022,3
Homicidios dolosos,PARQUE AVELLANEDA,FEBRERO,2019,3
Hurto automotor,VILLA DEL PARQUE,AGOSTO,2016,3
Robo automotor,VILLA CRESPO,DICIEMBRE,2017,3
Hurto automotor,VILLA CRESPO,ABRIL,2020,3
Hurto automotor,VILLA DEL PARQUE,ABRIL,2016,3
Lesiones por siniestros viales,VILLA ORTUZAR,OCTUBRE,2017,3
Amenazas,PALERMO,DICIEMBRE,2016,3
Robo automotor,MONTE CASTRO,ENERO,2020,3
Hurto automotor,VERSALLES,OCTUBRE,2020,3
Amenazas,PATERNAL,AGOSTO,2020,3
Muertes por siniestros viales,SAN TELMO,ENERO,2018,3
Hurto automotor,VILLA DEL PARQUE,AGOSTO,2020,3
Robo automotor,VILLA LURO,AGOSTO,2020,3
Amenazas,NUÑEZ,OCTUBRE,2018,3
Hurto automotor,COGHLAN,SEPTIEMBRE,2016,3
Robo automotor,VERSALLES,MARZO,2016,3
Lesiones por siniestros viales,PARQUE CHAS,AGOSTO,2017,3
Lesiones por siniestros viales,NUÑEZ,SEPTIEMBRE,2020,3
Robo automotor,VILLA CRESPO,FEBRERO,2016,3
Lesiones por siniestros viales,VILLA ORTUZAR,OCTUBRE,2016,3
Lesiones por siniestros viales,PARQUE CHACABUCO,ABRIL,2020,3
Robo automotor,VERSALLES,OCTUBRE,2017,3
Hurto automotor,SAN NICOLAS,ENERO,2019,3
Amenazas,PATERNAL,JUNIO,2018,3
Robo automotor,VILLA LUGANO,MAYO,2021,3
Lesiones por siniestros viales,PARQUE CHAS,ABRIL,2017,3
Robo automotor,VILLA CRESPO,ABRIL,2017,3
Hurto automotor,COGHLAN,SEPTIEMBRE,2020,3
Robo automotor,MONTE CASTRO,FEBRERO,2018,3
Lesiones por siniestros viales,VILLA ORTUZAR,NOVIEMBRE,2020,3
Lesiones por siniestros viales,VILLA ORTUZAR,OCTUBRE,2023,3
Robo automotor,VILLA CRESPO,ABRIL,2016,3
Robo automotor,VILLA LUGANO,MAYO,2022,3
Robo automotor,VILLA CRESPO,ENERO,2019,3
Hurto automotor,NUÑEZ,NOVIEMBRE,2019,2
Hurto automotor,CONSTITUCION,MAYO,2023,2
Robo automotor,AGRONOMIA,OCTUBRE,2016,2
Muertes por siniestros viales,VILLA LUGANO,MAYO,2017,2
Amenazas,VILLA ORTUZAR,ABRIL,2021,2
Hurto automotor,COGHLAN,FEBRERO,2023,2
Muertes por siniestros viales,MONSERRAT,FEBRERO,2016,2
Hurto automotor,VILLA LURO,MAYO,2022,2
Lesiones Dolosas,AGRONOMIA,ENERO,2021,2
Hurto automotor,VERSALLES,ABRIL,2018,2
Hurto automotor,VERSALLES,ABRIL,2017,2
Hurto automotor,LINIERS,MAYO,2020,2
Lesiones Dolosas,AGRONOMIA,DICIEMBRE,2019,2
Hurto automotor,NUÑEZ,SEPTIEMBRE,2019,2
Hurto automotor,CONSTITUCION,MAYO,2021,2
Amenazas,PUERTO MADERO,SEPTIEMBRE,2019,2
Robo automotor,BELGRANO,JULIO,2019,2
Muertes por siniestros viales,VILLA RIACHUELO,JULIO,2023,2
Lesiones Dolosas,AGRONOMIA,ENERO,2016,2
Muertes por siniestros viales,MONSERRAT,DICIEMBRE,2018,2
Muertes por siniestros viales,MONSERRAT,ENERO,2020,2
Robo total,COGHLAN,ABRIL,2020,2
Lesiones Dolosas,AGRONOMIA,JULIO,2019,2
Robo automotor,AGRONOMIA,FEBRERO,2018,2
Lesiones Dolosas,AGRONOMIA,JUNIO,2018,2
Amenazas,VILLA LURO,ABRIL,2018,2
Muertes por siniestros viales,MATADEROS,MAYO,2023,2
Muertes por siniestros viales,MATADEROS,MAYO,2021,2
Hurto automotor,NUÑEZ,DICIEMBRE,2021,2
Hurto automotor,NUÑEZ,DICIEMBRE,2019,2
Muertes por siniestros viales,VILLA RIACHUELO,SEPTIEMBRE,2018,2
Hurto automotor,VERSALLES,AGOSTO,2022,2
Muertes por siniestros viales,FLORES,FEBRERO,2022,2
Robo automotor,BELGRANO,NOVIEMBRE,2016,2
Amenazas,AGRONOMIA,SEPTIEMBRE,2022,2
Lesiones Dolosas,AGRONOMIA,MARZO,2019,2
Amenazas,AGRONOMIA,SEPTIEMBRE,2021,2
Amenazas,VILLA LURO,DICIEMBRE,2020,2
Robo automotor,BELGRANO,MARZO,2020,2
Robo automotor,BELGRANO,MARZO,2017,2
Muertes por siniestros viales,MATADEROS,NOVIEMBRE,2018,2
Hurto automotor,NUÑEZ,FEBRERO,2022,2
Amenazas,BOEDO,ABRIL,2018,2
Muertes por siniestros viales,FLORES,FEBRERO,2017,2
Lesiones Dolosas,AGRONOMIA,ENERO,2023,2
Hurto automotor,NUÑEZ,MAYO,2020,2
Lesiones Dolosas,AGRONOMIA,FEBRERO,2017,2
Robo total,PUERTO MADERO,JULIO,2020,2
Robo automotor,AGRONOMIA,MAYO,2016,2
Robo automotor,AGRONOMIA,JUNIO,2018,2
Amenazas,AGRONOMIA,DICIEMBRE,2021,2
Lesiones Dolosas,AGRONOMIA,FEBRERO,2018,2
Hurto automotor,VERSALLES,AGOSTO,2019,2
Robo automotor,BELGRANO,JUNIO,2018,2
Robo automotor,AGRONOMIA,JULIO,2018,2
Hurto automotor,VERSALLES,AGOSTO,2021,2
Lesiones Dolosas,AGRONOMIA,FEBRERO,2022,2
Robo automotor,BELGRANO,JULIO,2018,2
Hurto automotor,BOEDO,JUNIO,2020,2
Hurto automotor,PALERMO,MAYO,2020,2
Lesiones Dolosas,COGHLAN,SEPTIEMBRE,2018,2
Muertes por siniestros viales,FLORES,AGOSTO,2021,2
Hurto automotor,COGHLAN,JULIO,2017,2
Robo automotor,BELGRANO,ENERO,2016,2
Hurto total,VILLA REAL,MARZO,2019,2
Muertes por siniestros viales,NUEVA POMPEYA,JUNIO,2016,2
Robo automotor,BELGRANO,ENERO,2017,2
Amenazas,AGRONOMIA,AGOSTO,2019,2
Robo total,PUERTO MADERO,MARZO,2016,2
Hurto automotor,VELEZ SARSFIELD,JUNIO,2020,2
Muertes por siniestros viales,VILLA LUGANO,ENERO,2016,2
Muertes por siniestros viales,NUEVA POMPEYA,FEBRERO,2017,2
Muertes por siniestros viales,NUEVA POMPEYA,ENERO,2021,2
Hurto automotor,VILLA ORTUZAR,DICIEMBRE,2019,2
Muertes por siniestros viales,FLORES,DICIEMBRE,2016,2
Amenazas,VILLA GRAL. MITRE,JULIO,2023,2
Lesiones Dolosas,0,DICIEMBRE,2023,2
Amenazas,PATERNAL,JULIO,2020,2
Amenazas,COGHLAN,ABRIL,2017,2
Muertes por siniestros viales,NUEVA POMPEYA,MARZO,2018,2
Amenazas,VILLA GRAL. MITRE,FEBRERO,2017,2
Robo automotor,BELGRANO,DICIEMBRE,2017,2
Amenazas,PATERNAL,JUNIO,2020,2
Amenazas,SAN CRISTOBAL,ABRIL,2020,2
Hurto automotor,CHACARITA,OCTUBRE,2020,2
Hurto automotor,VELEZ SARSFIELD,AGOSTO,2020,2
Hurto automotor,PARQUE CHAS,AGOSTO,2019,2
Robo total,PUERTO MADERO,MAYO,2017,2
Hurto automotor,PARQUE CHAS,AGOSTO,2018,2
Hurto automotor,PARQUE CHAS,AGOSTO,2017,2
Amenazas,COGHLAN,ABRIL,2021,2
Muertes por siniestros viales,VILLA GRAL. MITRE,ABRIL,2019,2
Amenazas,COGHLAN,AGOSTO,2020,2
Amenazas,PARQUE CHAS,JULIO,2022,2
Hurto automotor,FLORESTA,JULIO,2020,2
Amenazas,VILLA GRAL. MITRE,ENERO,2018,2
Hurto total,VILLA REAL,ABRIL,2020,2
Amenazas,PARQUE CHAS,JULIO,2023,2
Hurto automotor,CABALLITO,ABRIL,2020,2
Muertes por siniestros viales,VILLA REAL,SEPTIEMBRE,2016,2
Hurto automotor,VILLA ORTUZAR,AGOSTO,2023,2
Lesiones Dolosas,AGRONOMIA,AGOSTO,2019,2
Hurto automotor,BOEDO,MAYO,2020,2
Muertes por siniestros viales,FLORES,DICIEMBRE,2020,2
Hurto automotor,LINIERS,JULIO,2020,2
Hurto automotor,PARQUE AVELLANEDA,JUNIO,2021,2
Hurto automotor,VILLA ORTUZAR,ABRIL,2019,2
Lesiones Dolosas,COGHLAN,SEPTIEMBRE,2021,2
Hurto automotor,CHACARITA,SEPTIEMBRE,2020,2
Muertes por siniestros viales,MATADEROS,JUNIO,2022,2
Amenazas,CHACARITA,JULIO,2023,2
Hurto automotor,COGHLAN,DICIEMBRE,2018,2
Muertes por siniestros viales,VILLA LUGANO,JUNIO,2016,2
Lesiones Dolosas,AGRONOMIA,AGOSTO,2023,2
Lesiones Dolosas,COGHLAN,SEPTIEMBRE,2020,2
Muertes por siniestros viales,VILLA LUGANO,MARZO,2016,2
Amenazas,PUERTO MADERO,SEPTIEMBRE,2023,2
Lesiones Dolosas,COGHLAN,SEPTIEMBRE,2019,2
Muertes por siniestros viales,FLORES,DICIEMBRE,2018,2
Hurto automotor,VILLA DEL PARQUE,ABRIL,2020,2
Amenazas,CHACARITA,OCTUBRE,2023,2
Hurto automotor,LINIERS,ABRIL,2020,2
Hurto automotor,VILLA ORTUZAR,AGOSTO,2022,2
Hurto automotor,BOEDO,OCTUBRE,2019,2
Lesiones Dolosas,0,NOVIEMBRE,2023,2
Robo automotor,BELGRANO,FEBRERO,2017,2
Robo automotor,BELGRANO,FEBRERO,2018,2
Amenazas,PATERNAL,MAYO,2022,2
Hurto automotor,VILLA ORTUZAR,AGOSTO,2021,2
Hurto automotor,CHACARITA,SEPTIEMBRE,2016,2
Robo automotor,ALMAGRO,AGOSTO,2019,2
Muertes por siniestros viales,NUEVA POMPEYA,DICIEMBRE,2016,2
Amenazas,PARQUE CHAS,MAYO,2018,2
Amenazas,CHACARITA,JUNIO,2020,2
Muertes por siniestros viales,MONTE CASTRO,MAYO,2022,2
Muertes por siniestros viales,FLORES,DICIEMBRE,2017,2
Hurto automotor,VELEZ SARSFIELD,NOVIEMBRE,2018,2
Hurto automotor,VELEZ SARSFIELD,NOVIEMBRE,2020,2
Hurto automotor,NUÑEZ,AGOSTO,2020,2
Amenazas,AGRONOMIA,OCTUBRE,2021,2
Robo automotor,AGRONOMIA,ENERO,2018,2
Hurto automotor,MONSERRAT,SEPTIEMBRE,2017,2
Hurto automotor,VERSALLES,MARZO,2020,2
Lesiones Dolosas,COGHLAN,JULIO,2022,2
Muertes por siniestros viales,VILLA SOLDATI,AGOSTO,2018,2
Lesiones Dolosas,COGHLAN,JULIO,2020,2
Robo total,PUERTO MADERO,OCTUBRE,2017,2
Muertes por siniestros viales,BARRACAS,MARZO,2023,2
Hurto automotor,CONSTITUCION,OCTUBRE,2019,2
Muertes por siniestros viales,VILLA SOLDATI,SEPTIEMBRE,2016,2
Hurto automotor,MONSERRAT,OCTUBRE,2016,2
Hurto automotor,VILLA DEL PARQUE,SEPTIEMBRE,2021,2
Muertes por siniestros viales,VILLA SOLDATI,OCTUBRE,2022,2
Hurto automotor,COGHLAN,ENERO,2019,2
Muertes por siniestros viales,VILLA SOLDATI,NOVIEMBRE,2017,2
Hurto automotor,MONSERRAT,NOVIEMBRE,2018,2
Muertes por siniestros viales,BARRACAS,MAYO,2017,2
Hurto automotor,VERSALLES,MAYO,2022,2
Hurto automotor,CONSTITUCION,SEPTIEMBRE,2020,2
Robo automotor,BOCA,AGOSTO,2018,2
Hurto automotor,VERSALLES,MARZO,2017,2
Muertes por siniestros viales,LINIERS,JULIO,2017,2
Hurto automotor,MONSERRAT,SEPTIEMBRE,2020,2
Hurto automotor,MONTE CASTRO,DICIEMBRE,2020,2
Hurto automotor,MONSERRAT,ENERO,2020,2
Amenazas,AGRONOMIA,FEBRERO,2017,2
Muertes por siniestros viales,LINIERS,DICIEMBRE,2017,2
Amenazas,AGRONOMIA,MARZO,2017,2
Amenazas,PARQUE CHAS,SEPTIEMBRE,2020,2
Hurto automotor,MONTE CASTRO,AGOSTO,2020,2
Amenazas,PUERTO MADERO,FEBRERO,2021,2
Lesiones Dolosas,COGHLAN,JUNIO,2020,2
Muertes por siniestros viales,LINIERS,AGOSTO,2016,2
Hurto automotor,MONSERRAT,ENERO,2023,2
Hurto automotor,VERSALLES,JUNIO,2017,2
Robo automotor,BOCA,ABRIL,2023,2
Amenazas,AGRONOMIA,JUNIO,2023,2
Hurto automotor,MONSERRAT,SEPTIEMBRE,2022,2
Hurto automotor,CONSTITUCION,OCTUBRE,2017,2
Lesiones Dolosas,COGHLAN,JUNIO,2017,2
Hurto automotor,VILLA GRAL. MITRE,ENERO,2016,2
Hurto automotor,VERSALLES,NOVIEMBRE,2017,2
Muertes por siniestros viales,VILLA SOLDATI,AGOSTO,2019,2
Hurto automotor,VILLA GRAL. MITRE,DICIEMBRE,2018,2
Amenazas,PATERNAL,AGOSTO,2018,2
Amenazas,AGRONOMIA,JULIO,2019,2
Hurto automotor,MONSERRAT,MARZO,2017,2
Hurto automotor,VILLA DEVOTO,JULIO,2016,2
Lesiones Dolosas,COGHLAN,ABRIL,2023,2
Lesiones Dolosas,COGHLAN,ENERO,2020,2
Muertes por siniestros viales,FLORES,SEPTIEMBRE,2018,2
Hurto automotor,MONSERRAT,JUNIO,2020,2
Hurto automotor,VILLA DEVOTO,FEBRERO,2016,2
Hurto automotor,MONSERRAT,JUNIO,2017,2
