nombre_est,barrio
Esc. Técnica N° 14 Libertad,BARRACAS
Esc. Técnica N° 15 Maipú,BARRACAS
Esc. Normal Superior N° 05 Gral. Don Martín Miguel de Güemes (sede),BARRACAS
Liceo Comercial N° 03 José Manuel Estrada,BARRACAS
Jardín de Infantes Integral N° 10/05°,BARRACAS
Primera Infancia Sol de Noche,BARRACAS
Centro de Actividades Infantiles y Juveniles Zavaleta,BARRACAS
Centro de Formación Profesional N° 36,PARQUE PATRICIOS
Esc. Técnica N° 07 Dolores Lavalle de Lavalle,PARQUE PATRICIOS
Centro de Actividades Infantiles y Juveniles Club Parque Patricios,PARQUE PATRICIOS
Centro Educativo de Nivel Secundario N° 89,PARQUE PATRICIOS
Esc. Hospitalaria N° 02 Dr. J. P. Garrahan,PARQUE PATRICIOS
CENOF Centro Laura Bonaparte,PARQUE PATRICIOS
Programa Contextos de encierro CENARESO,PARQUE PATRICIOS
Centro Educativo de Nivel Primario N° 30,PARQUE PATRICIOS
Centro Educativo para Niños en Tiempos y Espacios Singulares N° 01,BARRACAS
Centro Educativo de Nivel Primario N° 09 - Hospital Borda,BARRACAS
Esc. Hospitalaria N° 03 Dr. Pedro de Elizalde,BARRACAS
Centro Educativo de Nivel Primario N° 23 - Club Social y Deportivo Franja de Oro,NUEVA POMPEYA
Centro de Formación Profesional N° 19 Cáritas,NUEVA POMPEYA
Centro Educativo de Nivel Primario N° 58 - 61 y 27,NUEVA POMPEYA
Instituto de Formación Técnica Ssuperior Don Orione,NUEVA POMPEYA
NCI  EMANU EL,BELGRANO
Centro de Formación Profesional N° 15 Padre Daniel de la Sierra - Arzobispado de Bs As,NUEVA POMPEYA
Centro Educativo de Nivel Primario N° 50 - Salvador Gulla,NUEVA POMPEYA
Jardín de Infantes Integral N° 14/05°,PARQUE PATRICIOS
Jardín Maternal La Abuela Pata,NUEVA POMPEYA
Centro de Formación Profesional N° 09 Polo Educativo Barracas,BARRACAS
Esc. de Educación Media N° 06/05°,BARRACAS
Escuela Infantil N° 12/05°,BARRACAS
Jardín Maternal N° 06/18°,MONTE CASTRO
Esc. Primaria Común N° 12 Horacio Quiroga,BARRACAS
Esc. Primaria Común N° 04 Salvador María del Carril,ALMAGRO
"Centro de Alfabetización, Educación Básica y Trabajo N° 88",BARRACAS
Centro de Actividades Infantiles y Juveniles Club Barracas Sur,BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 47",BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 14",BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 56",BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 05",BARRACAS
Inst. Ntra. Sra. de los Milagros de Caacupé (sede),BARRACAS
Centro de Terminalidad a Distancia - Parroquia de Caacupé,BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 08",BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 11",BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 22",BARRACAS
UGEE N° 05 Bachillerato Popular de Adultos y Adolescentes Miguelito Pepe,CONSTITUCION
Centro Educativo de Nivel Secundario N° 49,BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo N° 51 Comedor Arca de Noé",RETIRO
Centro de Formación Profesional N° 02,BARRACAS
Centro Educativo de Nivel Primario N° 27,BARRACAS
Esc. Normal Superior N° 05 Gral. Don Martín Miguel de Güemes (anexo),BARRACAS
Esc. Primaria p/Adultos N° 01 Esteban de Luca,BALVANERA
Jardín de Infantes Nucleado A (EPCjs 01/06°),BALVANERA
Esc. Primaria Común N° 02 José Maria Gutiérrez,PARQUE PATRICIOS
Esc. Primaria Común N° 03 Rufino Sanchez,SAN CRISTOBAL
Jardín de Infantes Nucleado A (EPCjc 03/06°) [Sede],SAN CRISTOBAL
Jardín de Infantes Nucleado B (EPCjs 04/06°) Maestro Escultor Francisco Reyes,ALMAGRO
JIC Nº 12 DE 06,BOEDO
Centro Educativo de Nivel Secundario N° 70,BALVANERA
Esc. Primaria Común N° 05 Paul Groussac,BALVANERA
Jardín de Infantes Común N° 03/06°,BALVANERA
Esc. Primaria Común N° 06 Dr. Guillermo Correa,BALVANERA
Esc. Primaria Común N° 01 Juan José Castelli,RECOLETA
Centro de Actividades Infantiles y Juveniles Club de Chicos Balvanera,BALVANERA
Centro Educativo Complementario de Idiomas Extranjeros N° 06,SAN CRISTOBAL
Esc. Primaria Común N° 07 Olegario Víctor Andrade,SAN CRISTOBAL
Esc. Primaria Común N° 10 Francisco de Gurruchaga,SAN CRISTOBAL
Esc. Primaria Común N° 11 José Federico Moreno,SAN CRISTOBAL
Jardín de Infantes Nucleado B (EPCjc 11/06°) Maestro Escultor Francisco Reyes [Sede],SAN CRISTOBAL
Conservatorio Superior de Música Manuel de Falla - Anexo 3,SAN CRISTOBAL
"CENOF D.E. 06 ""Centro Municipal del Tango"" - Esc. Primaria 12/06°",BALVANERA
Esc. Primaria Común N° 12 República del Paraguay,BALVANERA
Esc. Primaria p/Adultos N° 13 Brig. Gral. José Matias Zapiola,BALVANERA
Esc. Primaria Común N° 13 Brig. Gral. José Matias Zapiola,BALVANERA
Jardín de Infantes Nucleado B (EPCjc 13/06°) Maestro Escultor Francisco Reyes,BALVANERA
Jardín de Infantes Común N° 04/06° Mariano Boedo,BOEDO
Esc. Primaria Común N° 14 Intendente Alvear,BOEDO
Inst. Hogar de Niños Ramón L. Falcón,BALVANERA
Esc. Primaria Común N° 17 Luis Jose Chorroarín,SAN CRISTOBAL
Centro Educativo de Nivel Secundario N° 15,ALMAGRO
Esc. Primaria Común N° 18 Dr. Antonio Bermejo,ALMAGRO
Esc. Primaria p/Adultos N° 22 Martina Silva de Gurruchaga,ALMAGRO
Esc. Primaria Común N° 22 Martina Silva de Gurruchaga,ALMAGRO
Esc. Primaria Común N° 25 Paula Albarracín de Sarmiento,BOEDO
Esc. Primaria p/Adultos N° 26 República de Colombia,BOEDO
Esc. Primaria Común N° 26 República de Colombia,BOEDO
Centro Educativo Complementario de Natación N° 02,PARQUE PATRICIOS
Centro Educativo de Nivel Secundario N° 72,PARQUE PATRICIOS
Esc. de Coro y Orquesta Athos Palma,PARQUE PATRICIOS
Esc. Primaria p/Adultos N° 02,PARQUE PATRICIOS
Esc. Primaria Común N° 01 Dr. Carlos Saavedra Lamas - Inst. F. F. Bernasconi,PARQUE PATRICIOS
Esc. Primaria Común N° 02 Dr. Rafael Bielsa - Inst. F. F. Bernasconi,PARQUE PATRICIOS
Jardín de Infantes Común N° 05/06°,PARQUE PATRICIOS
Jardín de Infantes Integral N° 10 Francisco Pascasio Moreno,PARQUE PATRICIOS
Esc. Primaria Común N° 04 Enrique Banchs - Inst. F. F. Bernasconi,PARQUE PATRICIOS
Esc. Primaria Común N° 03 Dr. Juan Angel Golfarini - Inst. F. F. Bernasconi,PARQUE PATRICIOS
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 05,PARQUE PATRICIOS
Centro Educativo Cursos Especiales - Instituto Félix Bernasconi,PARQUE PATRICIOS
Esc. de Comercio N° 22 Gustavo Adolfo Martínez Zuviría,BOEDO
Jardín de Infantes Integral N° 01/06°,SAN CRISTOBAL
Jardín de Infantes Integral N° 02/06° Federico Froebel,BOEDO
Jardín de Infantes Integral N° 08/06° Maria Angela Schiavoni de López,ALMAGRO
Bachillerato con Orientación Artística N° 04 Xul Solar,BALVANERA
Liceo N° 10 Ricardo Rojas,BALVANERA
Esc. Primaria Común N° 18 Dr. Rafael Herrera Vegas,RECOLETA
Esc. Técnica N° 11 Manuel Belgrano,SAN CRISTOBAL
Escuela Infantil N° 05/01° anexo,RETIRO
Esc. Técnica N° 25 Tte. 1° de Artillería Fray Luis Beltran,BALVANERA
Jardín de Infantes Nucleado A (EPCjs 02/07°),VILLA CRESPO
Esc. Técnica N° 26 Confederación Suiza,BALVANERA
Esc. Técnica N° 29 Reconquista de Buenos Aires,BOEDO
